Licensee Name,Doing Business As,License Type,Issue Date,License Number,Street Address,City,State,Zip,Location
LOS PARRA'S MEXICAN RESTAURANT LLC,LOS PARRA'S MEXICAN RESTAURANT,Hotel & Restaurant (city),06/20/18,4710071,116 NORTH INTEROCEAN AVENUE,Holyoke,CO,80734,"116 NORTH INTEROCEAN AVENUE
Holyoke, CO 80734
(40.585984, -102.302274)"
EMPORIUM SPORTS BAR LLC,EMPORIUM SPORTS BAR,Tavern (city),06/20/18,4709498,925 SOUTH TAFT HILL ROAD SUITE 1,Fort Collins,CO,80521,"925 SOUTH TAFT HILL ROAD SUITE 1
Fort Collins, CO 80521
(40.575532, -105.115016)"
WHOLE FOODS MARKET ROCKY MOUNTAIN/ SOUTHWEST L.P.,WHOLE FOODS MARKET,3.2% Beer Off Premises (city),06/20/18,4600786,7635 NORTH ACADEMY BOULEVARD,Colorado Springs,CO,80920,"7635 NORTH ACADEMY BOULEVARD
Colorado Springs, CO 80920
(38.941615, -104.799412)"
BLUE OCEAN PRIVATEERS LTD,BLUE OCEAN MERCANTILE,Importer (malt liquor),06/20/18,4710196,7278 SOUTH MILLER STREET,Littleton,CO,80127,"7278 SOUTH MILLER STREET
Littleton, CO 80127
(39.585517, -105.114703)"
FLORENCE ARCHITECTURAL & CULTURAL TRADITIONS,RIALTO THEATER,Arts License (city),06/20/18,4709986,209 WEST MAIN STREET,Florence,CO,81226,"209 WEST MAIN STREET
Florence, CO 81226
(38.390264, -105.119555)"
"BASECAMP CONCEPTS, LLC",IRONTON DISTILLERY & CRAFTHOUSE,Distillery Pub (City),06/20/18,4709804,3636 CHESTNUT PLACE,Denver,CO,80216,"3636 CHESTNUT PLACE
Denver, CO 80216
(39.772959, -104.97894)"
KUHLMAN CELLARS,KUHLMAN CELLARS,Wine Delivery Permit,06/20/18,4709863,18421 EAST U.S. HIGHWAY 290,Stonewall,TX,78671,"18421 EAST U.S. HIGHWAY 290
Stonewall, TX 78671
(30.237768, -98.597612)"
MOVE! LLC,MOVE!,Art Gallery Permit,06/19/18,4710158,1980 YOUNGFIELD STREET,Lakewood,CO,80215,"1980 YOUNGFIELD STREET
Lakewood, CO 80215
(39.74681, -105.142384)"
BRECKENRIDGE CREATIVE ARTS,BRECKENRIDGE CREATIVE ARTS,Arts License (city),06/19/18,4709938,136 SOUTH MAIN STREET,Breckenridge,CO,80424,"136 SOUTH MAIN STREET
Breckenridge, CO 80424
(39.480886, -106.046128)"
HAVANAGRILL LLC,HAVANAGRILL,Hotel & Restaurant (city),06/19/18,4709978,3748 ASTROZON BOULEVARD,Colorado Springs,CO,80910,"3748 ASTROZON BOULEVARD
Colorado Springs, CO 80910
(38.796135, -104.758967)"
CORK AND CASK DRINKS LLC,CORK AND CASK DRINKS,Tavern (city),06/19/18,4709979,60 EAST MORENO AVENUE,Colorado Springs,CO,80903,"60 EAST MORENO AVENUE
Colorado Springs, CO 80903
(38.825505, -104.824315)"
"MELODY LIVING ASSOCIATES- CO, LLC AN OHIO LIMITED LIABILITY COMPANY",MELODY LIVING,Hotel & Restaurant (city),06/19/18,4710030,7600 SANDY ROCK POINT,Colorado Springs,CO,80924,
"JARRITO LOCO, INC.","JARRITO LOCO, INC.",Hotel & Restaurant (city),06/19/18,4709999,582 WEST HIGHWAY 105,Monument,CO,80132,"582 WEST HIGHWAY 105
Monument, CO 80132
(39.097301, -104.866366)"
"ARVADA AL, LLC",MORNINGSTAR OF ARVADA,Hotel & Restaurant (city),06/19/18,4709882,17351 WEST 64TH AVENUE,Arvada,CO,80007,"17351 WEST 64TH AVENUE
Arvada, CO 80007
(39.812787, -105.198074)"
"LAS ANIMAS GRILL, LLC",LAS ANIMAS GRILL,Hotel & Restaurant (city),06/18/18,4709887,341 NORTH COMMERCIAL STREET,Trinidad,CO,81082,"341 NORTH COMMERCIAL STREET
Trinidad, CO 81082
(37.171045, -104.506785)"
"JACKASS HILL BREWERY, LLC",JACKASS HILL BREWERY,Brew Pub (city),06/18/18,4709911,2409 WEST MAIN STREET,Littleton,CO,80120,"2409 WEST MAIN STREET
Littleton, CO 80120
(39.613709, -105.016446)"
"WILDEFIRE BISTRO, LLC",WILDEFIRE BISTRO,Tavern (city),06/18/18,4709932,"15352 EAST IDA DRIVE, UNIT E",Centennial,CO,80015,"15352 EAST IDA DRIVE, UNIT E
Centennial, CO 80015
(39.611831, -104.809536)"
TASTE AND SAVOR WINE BAR LLC,TASTE AND SAVOR WINE BAR,Beer & Wine (city),06/18/18,4710007,3581 EAST HARMONY ROAD SUITE 130,Fort Collins,CO,80528,"3581 EAST HARMONY ROAD SUITE 130
Fort Collins, CO 80528
(40.523223, -105.009436)"
THE WEANT HOUSE LLC,WEANT HOUSE THE,Hotel & Restaurant (city),06/18/18,4710008,689 MAIN STREET,Carbondale,CO,81623,"689 MAIN STREET
Carbondale, CO 81623
(39.400543, -107.21391)"
OM SHIVA INC,CURRY KITCHEN INDIAN & NEPALESE CUISINE & BAR,Hotel & Restaurant (county),06/18/18,4710073,1865 WOODMOOR DRIVE,Monument,CO,80132,"1865 WOODMOOR DRIVE
Monument, CO 80132
(39.097474, -104.862383)"
RV SONS LLC,MIDWEST LIQUORS,Liquor Store (city),06/18/18,4710064,105 SOUTH MAIN STREET,Fort Morgan,CO,80701,"105 SOUTH MAIN STREET
Fort Morgan, CO 80701
(40.24647, -103.801499)"
TENPIN LLC,SNOWMASS LANES & LOUNGE,Lodging & Entertainment (City),06/18/18,4710085,105 DALY LANE,Snowmass Village,CO,81615,"105 DALY LANE
Snowmass Village, CO 81615
(39.206698, -106.952841)"
"STONELEDGE VINEYARD, LLC",STONELEDGE WINERY,Wine Delivery Permit,06/18/18,4710056,518 COUNTY ROAD 1403,Lometa,TX,76853,"518 COUNTY ROAD 1403
Lometa, TX 76853
(31.1111, -98.367634)"
REDBUCK LLC,SIGNET JEWELRY,Art Gallery Permit,06/18/18,4710133,300 FILLMORE STREET,Denver,CO,80206,"300 FILLMORE STREET
Denver, CO 80206
(39.72122, -104.9534)"
REVERIE LIVING,REVERIE LIVING,Art Gallery Permit,06/18/18,4710134,2910 EAST 3RD AVENUE,Denver,CO,80206,"2910 EAST 3RD AVENUE
Denver, CO 80206
(39.720989, -104.952985)"
111 ENTERPRISES INC,BLACK CROW GALLERY,Art Gallery Permit,06/18/18,4710135,144 WEST 12TH AVENUE,Denver,CO,80204,"144 WEST 12TH AVENUE
Denver, CO 80204
(39.735261, -104.988981)"
UHL'S BEER LLC,UHL'S BEER LLC,Wholesale Beer (malt liquor),06/18/18,4709527,6439 ARAPAHOE ROAD UNIT 21,Boulder,CO,80303,"6439 ARAPAHOE ROAD UNIT 21
Boulder, CO 80303
(40.014683, -105.20278)"
SODEXO AMERICA LLC,SODEXO,Related Facility Permit (City),07/25/18,4710228,"COLLEGE CENTER, 1455 NORTH 12TH STREET",Grand Junction,CO,81501,
SODEXO,SODEXO,Related Facility Permit (City),07/25/18,4710367,"COLLEGE CENTER, 1455 NORTH 12TH STREET",Grand Junction,CO,81501,
SODEXO,SODEXO,Related Facility Permit (City),07/25/18,4710368,"COLLEGE CENTER, 1455 NORTH 12TH STREET",Grand Junction,CO,81501,
YAK & YETI LLC DBA SPICE TRADE BREWING,COPPER KETTLE BREWING COMPANY,Alternating Proprietor Premises,07/25/18,4710106,1338 SOUTH VALENTIA STREET #100,Denver,CO,80247,"1338 SOUTH VALENTIA STREET #100
Denver, CO 80247
(39.692422, -104.891732)"
PISTOL WHIP LLC,PISTOL WHIP,Hotel & Restaurant (city),12/28/18,03-10782,698 SANTA FE DRIVE,Denver,CO,80204,"698 SANTA FE DRIVE
Denver, CO 80204
(39.727143, -104.998621)"
GOLDSPOT ACQUISITIONS LLC,GOLDSPOT BREWING COMPANY,Manufacturer (brewery),12/26/18,03-11002,4970 LOWELL BOULEVARD,Denver,CO,80221,"4970 LOWELL BOULEVARD
Denver, CO 80221
(39.786873, -105.034588)"
GOLDSPOT ACQUISITIONS LLC,GOLDSPOT BREWING COMPANY,Wholesale Beer (malt liquor),12/26/18,03-11001,4970 LOWELL BOULEVARD,Denver,CO,80221,"4970 LOWELL BOULEVARD
Denver, CO 80221
(39.786873, -105.034588)"
PARKER TENNIS CENTER LLLP,PARKER RACQUET CLUB,Beer & Wine (city),12/26/18,03-10838,18396 EAST PLAZA DRIVE,Parker,CO,80134,"18396 EAST PLAZA DRIVE
Parker, CO 80134
(39.526354, -104.775296)"
MURPHY OIL USA INC,MURPHY EXPRESS 8586,Fermented Malt Beverage Off (city),12/26/18,04-01053,120 WEST 64TH STREET,Loveland,CO,80538,"120 WEST 64TH STREET
Loveland, CO 80538
(40.454934, -105.078359)"
WFM-WO INC.,IDEAL MARKET,Fermented Malt Beverage Off (city),12/20/18,04-01057,1275 ALPINE AVENUE,Boulder,CO,80304,"1275 ALPINE AVENUE
Boulder, CO 80304
(40.025517, -105.280728)"
HOUSE OF FAAS LLC,WILDERNESS SPORTS,Beer & Wine (city),12/20/18,03-10953,701 EAST ANEMONE TRAIL SUITE 101-105 AND 201,Dillon,CO,80435,
ENVY BREWING INC,ENVY BREWING,Brew Pub (city),12/20/18,03-10818,3027 EAST HARMONY ROAD SUITE 2,Fort Collins,CO,80528,"3027 EAST HARMONY ROAD SUITE 2
Fort Collins, CO 80528
(40.523192, -105.021058)"
USA FOOD & GAS LLC,USA FOOD & GAS,Fermented Malt Beverage Off (city),12/20/18,04-00960,1720 EAST 112TH AVENUE,Northglenn,CO,80233,"1720 EAST 112TH AVENUE
Northglenn, CO 80233
(39.899523, -104.965917)"
THE BROOKLYN BREWERY CORPORATION,THE BROOKLYN BREWERY CORPORATION,Wholesale Beer (malt liquor),12/20/18,03-10755,1313 DUFF DRIVE UNIT 2,Fort Collins,CO,80524,"1313 DUFF DRIVE UNIT 2
Fort Collins, CO 80524
(40.589873, -105.051427)"
LA TRAMPA LLC,LA TRAMPA,Tavern (city),12/20/18,03-09532,5190 BRIGHTON BOULEVARD,Denver,CO,80216,"5190 BRIGHTON BOULEVARD
Denver, CO 80216
(39.79081, -104.960306)"
MARRIOTT RESORTS HOSPITALITY CORPORATION,MARRIOTT RESORTS HOSPITALITY CORPORATION,Lodging & Entertainment (City),12/19/18,03-10799,655 COLUMBINE ROAD,Breckenridge,CO,80424,"655 COLUMBINE ROAD
Breckenridge, CO 80424
(39.475025, -106.046052)"
WINDSOR PUB COMPANY LLC,WINSTON'S PUB AND GRILL,Tavern (city),12/19/18,03-10906,7260 WEST ALASKA DRIVE UNIT D,Lakewood,CO,80226,"7260 WEST ALASKA DRIVE UNIT D
Lakewood, CO 80226
(39.709211, -105.077557)"
WILLIAM DONNITHORNE,THE CRAZY BEAVER,Tavern (county),12/19/18,03-10730,101 COUNTY ROAD 13.2,Garcia,CO,81152,"101 COUNTY ROAD 13.2
Garcia, CO 81152
(37.001942, -105.536814)"
DESCHUTES BREWERY INC,DESCHUTES BREWERY INC,Nonresident Manufacturer (malt liquor),12/19/18,03-10836,901 SW SIMPSON AVENUE,Bend,OR,97702,"901 SW SIMPSON AVENUE
Bend, OR 97702
(44.047607, -121.322322)"
CAPITOL MARKET LLC,CAPITOL MARKET,Fermented Malt Beverage Off (city),12/19/18,04-00948,1300 GRANT STREET,Denver,CO,80203,"1300 GRANT STREET
Denver, CO 80203
(39.736881, -104.983575)"
JSDR COMPANY LLC,IRON WAFFLE COFFEE CO,Beer & Wine (city),12/19/18,03-10945,2500 VILLAGE DRIVE UNIT 2A,Steamboat Springs,CO,80487,"2500 VILLAGE DRIVE UNIT 2A
Steamboat Springs, CO 80487
(40.455099, -106.805337)"
SODEXO AMERICA LLC,SODEXO,Related Facility Permit (City),11/16/18,03-10912,"COLLEGE CENTER, 1455 NORTH 12TH STREET",Grand Junction,CO,81501,
VAIL VALLEY ART GUILD,VAIL VALLEY ART GUILD,Art Gallery Permit,12/19/18,03-11052,132 BROADWAY STREET,Eagle,CO,81631,"132 BROADWAY STREET
Eagle, CO 81631
(39.655753, -106.827885)"
DESCHUTES BREWERY INC,DESCHUTES BREWERY INC,Fermented Malt Beverage Nonresident,12/19/18,04-01039,901 SW SIMPSON AVENUE,Bend,OR,97702,"901 SW SIMPSON AVENUE
Bend, OR 97702
(44.047607, -121.322322)"
PIZZABILITY LLC,PIZZABILITY,Beer & Wine (city),12/18/18,03-10989,250 STEELE STREET #108,Denver,CO,80206,"250 STEELE STREET #108
Denver, CO 80206
(39.720399, -104.949795)"
SAM'S WEST INC,SAM'S CLUB #6630,Fermented Malt Beverage Off (city),12/18/18,04-01040,7370 WEST 52ND AVENUE,Arvada,CO,80002,"7370 WEST 52ND AVENUE
Arvada, CO 80002
(39.791017, -105.077627)"
COSTCO WHOLESALE CORPORATION,COSTCO WHOLESALE #1027,Fermented Malt Beverage Off (city),12/17/18,04-01041,4000 RIVER POINT PARKWAY,Sheridan,CO,80110,"4000 RIVER POINT PARKWAY
Sheridan, CO 80110
(39.644918, -105.008648)"
STINKER STORES CO INC,STINKER STORES #339,Fermented Malt Beverage Off (city),12/17/18,04-01042,10010 WEST 27TH AVENUE,Wheat Ridge,CO,80215,"10010 WEST 27TH AVENUE
Wheat Ridge, CO 80215
(39.755832, -105.110048)"
GUADALUPE CARDENAS,KERSEY POOL HALL,Fermented Malt Beverage On (city),12/17/18,04-00962,425 1ST STREET,Kersey,CO,80644,"425 1ST STREET
Kersey, CO 80644
(40.386053, -104.564352)"
QGATE LLC,PIGGIN OUT SMOKEHOUSE,Hotel & Restaurant (city),12/17/18,03-10907,9987 MORRISON ROAD,Lakewood,CO,80227,"9987 MORRISON ROAD
Lakewood, CO 80227
(39.669245, -105.109089)"
MELVIN BREWING COMPANY LLC,MELVIN BREWING COMPANY,Fermented Malt Beverage Importer,12/17/18,04-01074,624 COUNTY ROAD 101,Alpine,WY,83128,
NINKASI BREWERY LLC,NINKASI BREWING COMPANY,Fermented Malt Beverage Importer,12/17/18,04-01075,155 BLAIR BLVD,Eugene,OR,97402,"155 BLAIR BLVD
Eugene, OR 97402
(44.058052, -123.111744)"
ASSOCIATED BREWING COMPANY,ASSOCIATED BREWING COMPANY,Fermented Malt Beverage Importer,12/17/18,04-01079,219 LITTLE CANADA ROAD EAST,Saint Paul,MN,55117,"219 LITTLE CANADA ROAD EAST
Saint Paul, MN 55117
(45.023445, -93.091802)"
CIGAR CITY BREWING LLC,CIGAR CITY BREWING,Fermented Malt Beverage Nonresident,12/17/18,04-01073,3924 WEST SPRUCE STREET,Tampa,FL,33607,"3924 WEST SPRUCE STREET
Tampa, FL 33607
(27.959453, -82.5093)"
DILLON COMPANIES LLC,KING SOOPERS #40 FUEL CENTER,Fermented Malt Beverage Off (city),12/17/18,04-01049,198 SOUTH UNION BOULEVARD,Lakewood,CO,80228,"198 SOUTH UNION BOULEVARD
Lakewood, CO 80228
(39.712034, -105.133071)"
"RMC DISTRIBUTORS, LLC",ROCKY MOUNTAIN COORS DISTRIBUTING,Fermented Malt Beverage Importer,12/17/18,04-00881,1525 NORTH NEWPORT ROAD,Colorado Springs,CO,80916,"1525 NORTH NEWPORT ROAD
Colorado Springs, CO 80916
(38.810759, -104.728372)"
EGGSTRODINARY RESTAURANTS SHERIDAN LLC,MORNING STORY,Hotel & Restaurant (city),12/17/18,03-10837,8025 SHERIDAN BLVD UNIT Y,Arvada,CO,80003,"8025 SHERIDAN BLVD UNIT Y
Arvada, CO 80003
(39.842966, -105.053253)"
MIGHTY SWELL COCKTAIL COMPANY LLC,MIGHTY SWELL COCKTAIL COMPANY,Importer (malt liquor),12/17/18,03-10987,706 GUADALUPE STREET,Austin,TX,78701,"706 GUADALUPE STREET
Austin, TX 78701
(30.270646, -97.745684)"
NATURAL SPIRITS USA LLC,NATURAL SPIRITS USA LLC,Importer (vinous & spirituous),12/17/18,03-10527,14310 TASMANIA COURT,Sugar Land,TX,77498,"14310 TASMANIA COURT
Sugar Land, TX 77498
(29.607878, -95.681459)"
SAI VINAYAK INC,SOCO LIQUOR MART,Liquor Store (city),12/14/18,03-10832,4410 DILLION DRIVE,Pueblo,CO,81008,"4410 DILLION DRIVE
Pueblo, CO 81008
(38.315072, -104.611844)"
SAINT PATRICK'S BREWING COMPANY LLC,SAINT PATRICK'S BREWING COMPANY,Fermented Malt Beverage Manufacturer,12/14/18,04-01072,2842 WEST BOWLES AVENUE,Littleton,CO,80120,"2842 WEST BOWLES AVENUE
Littleton, CO 80120
(39.613143, -105.023213)"
CVS PHARMACY,CVS PHARMACY #10959,Fermented Malt Beverage Off (city),12/14/18,04-00714,1900 18TH STREET,Denver,CO,80202,"1900 18TH STREET
Denver, CO 80202
(39.755096, -105.000301)"
PESTER MARKETING COMPANY,ALTA #6140,Fermented Malt Beverage Off (city),12/14/18,04-00898,12702 LOWELL BOULEVARD,Broomfield,CO,80020,"12702 LOWELL BOULEVARD
Broomfield, CO 80020
(39.927161, -105.034397)"
PESTER MARKETING COMPANY,ALTA #6124,Fermented Malt Beverage Off (city),12/14/18,04-00952,2525 BROADWAY,Grand Junction,CO,81507,"2525 BROADWAY
Grand Junction, CO 81507
(39.066123, -108.585339)"
SODEXO AMERICA LLC,SODEXO,Related Facility Permit (City),11/16/18,03-10913,"COLLEGE CENTER, 1455 NORTH 12TH STREET",Grand Junction,CO,81501,
TRADER JOE'S COMPANY,TRADER JOE'S #301,Fermented Malt Beverage Off (city),12/13/18,04-00961,1906 28TH STREET,Boulder,CO,80301,"1906 28TH STREET
Boulder, CO 80301
(40.021133, -105.258324)"
DESHMESH LLC,SINCLAIR- MANITOU SPRINGS,Fermented Malt Beverage Off (city),12/13/18,04-00933,201 MANITOU AVENUE,Manitou Springs,CO,80829,"201 MANITOU AVENUE
Manitou Springs, CO 80829
(38.857388, -104.896924)"
KUM & GO LLC,KUM & GO #948,Fermented Malt Beverage Off (city),12/13/18,04-01065,55 LUSHER COURT,Frisco,CO,80443,"55 LUSHER COURT
Frisco, CO 80443
(39.589702, -106.098669)"
BERTHOUD BREWING COMPANY INC,BERTHOUD BREWING CO,Brew Pub (city),12/13/18,03-10858,450 SOUTH 8TH STREET,Berthoud,CO,80513,"450 SOUTH 8TH STREET
Berthoud, CO 80513
(40.298229, -105.083103)"
SHAUN HORNE LLC,SHAUN HORNE GALLERY,Art Gallery Permit,12/13/18,03-10965,418 ELK AVENUE,Crested Butte,CO,81224,"418 ELK AVENUE
Crested Butte, CO 81224
(38.869758, -106.983271)"
MARIANAS FAMILY RESTAURANT LLC,MARIANAS FAMILY RESTAURANT LLC,Hotel & Restaurant (city),12/13/18,03-10848,612 CENTRAL AVENUE,La Salle,CO,80645,"612 CENTRAL AVENUE
La Salle, CO 80645
(40.232799, -104.079869)"
RANCHO CORP,MAIN STREET EVENT CENTER & CAFE,Tavern (city),12/13/18,03-10626,161 NORTH MAIN STREET,Brighton,CO,80601,"161 NORTH MAIN STREET
Brighton, CO 80601
(39.988961, -104.820825)"
INFORMATION ENGINEERING SERVICES INC,COTTONWOOD CELLARS,Wine Delivery Permit,12/13/18,03-10982,5482 HIGHWAY 348,Olathe,CO,81425,"5482 HIGHWAY 348
Olathe, CO 81425
(38.606232, -108.036201)"
ENTENTE SPIRITS,"THE ROUND BARN WINERY, FREE RUN CELLARS, TABOR HILL WINERY",Wine Delivery Permit,12/13/18,03-10983,10983 HILLS ROAD,Baroda,MI,49101,"10983 HILLS ROAD
Baroda, MI 49101
(41.922336, -86.457953)"
JACK RABBIT HILL LLC,JACK RABBIT HILL WINERY,Wine Delivery Permit,12/13/18,03-10998,26567 NORTH ROAD,Hotchkiss,CO,81419,"26567 NORTH ROAD
Hotchkiss, CO 81419
(38.84374, -107.868913)"
"GOOSE EGG, LLC",EMPATHY WINES,Wine Delivery Permit,12/13/18,03-10974,110 CAMINO ORUGA,Napa,CA,94558,"110 CAMINO ORUGA
Napa, CA 94558
(38.228429, -122.256143)"
VERISMO WINE LLC,ESSERE FRANCO,Wine Delivery Permit,12/13/18,03-10975,5055 SOLANO AVENUE,Napa,CA,94558,"5055 SOLANO AVENUE
Napa, CA 94558
(38.3548, -122.333016)"
ADAM MCCLELLAN,ROOTS AND WATER LLC,Wine Delivery Permit,12/13/18,03-10976,2200 VANTAGE STREET,Dallas,TX,75207,"2200 VANTAGE STREET
Dallas, TX 75207
(32.798792, -96.833342)"
RUDIUS WINES LLC,RUDIUS WINES,Wine Delivery Permit,12/13/18,03-10977,3524 NORTH SILVERADO TRAIL,Saint Helena,CA,94574,"3524 NORTH SILVERADO TRAIL
Saint Helena, CA 94574
(38.546392, -122.490427)"
6171 LLC,THE HIDEAWAY SALOON,Tavern (city),12/12/18,03-10239,6171 OLIVE STREET,Commerce City,CO,80022,"6171 OLIVE STREET
Commerce City, CO 80022
(39.808102, -104.907071)"
DILLCO INC,DILLCO INC,Wholesale (vinous & spirituous),12/12/18,03-10770,5115 PEORIA STREET,Denver,CO,80239,"5115 PEORIA STREET
Denver, CO 80239
(39.789605, -104.847183)"
V&C LLC,MARYHILL WINERY,Importer (vinous & spirituous),12/12/18,03-10117,9774 SR 14,Goldendale,WA,98620,"9774 SR 14
Goldendale, WA 98620
(45.671435, -120.884972)"
HAPPY HOUR LIQUOR LLC,THE BOTTLE SHOP,Liquor Store (county),12/12/18,03-10681,40 COVE BLVD UNIT C1,Dillon,CO,80435,"40 COVE BLVD UNIT C1
Dillon, CO 80435
(39.601724, -106.007597)"
STINKER STORES CO INC,STINKER #322,Fermented Malt Beverage Off (city),12/12/18,04-00924,2903 NORTH AVENUE,Grand Junction,CO,81504,"2903 NORTH AVENUE
Grand Junction, CO 81504
(39.077269, -108.514793)"
STINKER STORES CO INC,STINKER STORES #323,Fermented Malt Beverage Off (city),12/12/18,04-00925,233 NORTH AVENUE,Grand Junction,CO,81501,"233 NORTH AVENUE
Grand Junction, CO 81501
(39.077351, -108.569038)"
WFM-WO INC,WHOLE FOODS MARKET,Fermented Malt Beverage Off (city),12/12/18,04-01017,303 MARSHALL ROAD,Superior,CO,80027,"303 MARSHALL ROAD
Superior, CO 80027
(39.955364, -105.167816)"
STINKER STORES CO INC,STINKER STORES CO INC #340,Fermented Malt Beverage Off (city),12/12/18,04-00958,800 WEST HAMPDEN AVENUE,Englewood,CO,80110,"800 WEST HAMPDEN AVENUE
Englewood, CO 80110
(39.653181, -104.997349)"
CVS PHARMACY INC,CVS/PHARMACY #11001,Fermented Malt Beverage Off (city),12/12/18,04-00940,3475 NORTH ACADEMY BOULEVARD,Colorado Springs,CO,80917,"3475 NORTH ACADEMY BOULEVARD
Colorado Springs, CO 80917
(38.882037, -104.75693)"
STINKER STORES CO INC,STINKER STORES CO #329,Fermented Malt Beverage Off (city),12/12/18,04-00942,3905 EAST 120TH AVENUE,Thornton,CO,80229,"3905 EAST 120TH AVENUE
Thornton, CO 80229
(39.913941, -104.941688)"
"LUMIERE HOTEL GROUP MANAGEMENT, LLC",LUMIERE HOTEL,Hotel & Restaurant (city),12/12/18,03-10924,118 LOST CREEK LANE,Mountain Village,CO,81435,"118 LOST CREEK LANE
Mountain Village, CO 81435
(37.935233, -107.846527)"
STINKER STORES CO INC,STINKER STORES CO #341,Fermented Malt Beverage Off (county),12/12/18,04-01025,27885 MEADOW DRIVE,Evergreen,CO,80437,"27885 MEADOW DRIVE
Evergreen, CO 80437
(39.636674, -105.315721)"
BOBZIP INNOVATION LLC,SEOUL KOREAN BBQ & SUSHI,Hotel & Restaurant (city),12/11/18,03-10955,2080 SOUTH HAVANA STREET,Aurora,CO,80014,"2080 SOUTH HAVANA STREET
Aurora, CO 80014
(39.678734, -104.865835)"
STINKER STORES CO INC,STINKER STORES CO INC #320,Fermented Malt Beverage Off (county),12/11/18,04-00910,3218 F ROAD,Clifton,CO,81520,"3218 F ROAD
Clifton, CO 81520
(39.091785, -108.455734)"
PESTER MARKETING COMPANY,ALTA #6126,Fermented Malt Beverage Off (city),12/11/18,04-00932,938 SOUTH TOWNSEND AVENUE,Montrose,CO,81401,"938 SOUTH TOWNSEND AVENUE
Montrose, CO 81401
(38.471152, -107.869292)"
SAM'S WEST INC,SAM'S CLUB #6631,Fermented Malt Beverage Off (city),12/11/18,04-01038,880 SOUTH ABILENE STREET,Aurora,CO,80012,"880 SOUTH ABILENE STREET
Aurora, CO 80012
(39.700421, -104.828033)"
WALLACE OIL COMPANY,WALLACE OIL COMPANY #1,Fermented Malt Beverage Off (city),12/11/18,04-00889,205 COLOMBIA AVENUE,Swink,CO,81077,"205 COLOMBIA AVENUE
Swink, CO 81077
(38.014871, -103.628632)"
"JAYHAWK MOUNTAIN MANAGEMENT, LLC",BAIT SHACK,Hotel & Restaurant (county),12/11/18,03-09828,28275 HIGHWAY 74,Evergreen,CO,80439,"28275 HIGHWAY 74
Evergreen, CO 80439
(39.632518, -105.32121)"
ROCKIES BIOSPIRITS LLC,ROCKIES BIOSPIRITS LLC,Wholesale (vinous & spirituous),12/11/18,03-10669,6547 SOUTH RACINE CIRCLE UNIT 300,Englewood,CO,80111,"6547 SOUTH RACINE CIRCLE UNIT 300
Englewood, CO 80111
(39.597427, -104.843662)"
T.J. CRUISERS LLC,CRUISERS BAR,Tavern (city),12/10/18,03-10399,2692 US HIGHWAY 50,Grand Junction,CO,81503,"2692 US HIGHWAY 50
Grand Junction, CO 81503
(39.043718, -108.554073)"
"ENIGMA BAZAAR, LLC",ENIGMA BAZAAR,Tavern (city),12/10/18,03-10674,4923 WEST 38TH AVENUE,Denver,CO,80212,"4923 WEST 38TH AVENUE
Denver, CO 80212
(39.769358, -105.050569)"
47 SUSHI & SPIRITS - HIGHLANDS RANCH LLC,47 SUSHI & SPIRITS,Hotel & Restaurant (county),12/10/18,03-10069,1525 PARK CENTRAL DRIVE SUITE 400,Highlands Ranch,CO,80129,"1525 PARK CENTRAL DRIVE SUITE 400
Highlands Ranch, CO 80129
(39.552924, -105.005045)"
THE RED BAR LLC,THE RED BAR,Hotel & Restaurant (city),12/10/18,03-10806,734 NORTH 19TH STREET,Colorado Springs,CO,80904,"734 NORTH 19TH STREET
Colorado Springs, CO 80904
(38.848942, -104.849836)"
"BBB_COS03, LLC",BORDER BURGER BAR/ POKE BOP,Hotel & Restaurant (city),12/10/18,03-10762,"4703, 4705 & 4707 NORTH ACADEMY BLVD",Colorado Springs,CO,80918,"4703, 4705 &amp; 4707 NORTH ACADEMY BLVD
Colorado Springs, CO 80918
(38.899968, -104.764404)"
DUBLIN POWER LLC,"KANPAI,  JAPANESE RESTAURANT & SUSHI",Hotel & Restaurant (city),12/10/18,03-10682,5935 DUBLIN BLVD #100,Colorado Springs,CO,80923,
GREEN SCREENS LLC,X GOLF,Lodging & Entertainment (City),12/10/18,03-10757,351 EAST FOOTHILLS PARKWAY,Fort Collins,CO,80525,"351 EAST FOOTHILLS PARKWAY
Fort Collins, CO 80525
(40.544757, -105.069274)"
U100K CORPORATION,80000 LIQUORS,Liquor Store (city),12/10/18,03-10657,2683 EAST 120 AVENUE SUITE B1,Thornton,CO,80233,"2683 EAST 120 AVENUE SUITE B1
Thornton, CO 80233
(39.913948, -104.954202)"
VALERO INC,VALERO INC,Fermented Malt Beverage Off (city),12/10/18,04-01035,1660 NORTH COLLEGE AVENUE,Fort Collins,CO,80524,"1660 NORTH COLLEGE AVENUE
Fort Collins, CO 80524
(40.61029, -105.076464)"
QUEENS KITCHEN LLC,NOODLE HOUSE,Beer & Wine (city),12/10/18,03-10947,4800 BASELINE ROAD A-110,Boulder,CO,80303,"4800 BASELINE ROAD A-110
Boulder, CO 80303
(40.000017, -105.234005)"
